Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
2328	-2429.592	-2505.102	75.51054	0.7939792	4.979842
2334	-2438.923	-2514.604	75.68118	0.6327921	4.974589
2340	-2438.879	-2514.986	76.10714	0.7575014	4.667381
2346	-2433.955	-2511.449	77.49476	0.8717305	3.815722
2352	-2434.216	-2512.099	77.88274	1.058694	3.482572
2358	-2439.534	-2516.698	77.16429	0.7662518	4.065385
2364	-2433.147	-2510.448	77.30121	1.025782	3.838437
2370	-2435.156	-2511.544	76.38726	0.7868926	4.493659
2376	-2438.343	-2514.216	75.87318	0.9229882	4.70571
2382	-2433.045	-2510.394	77.34882	0.7923853	3.945027
2388	-2437.934	-2515.432	77.49897	0.8052486	3.851527
2394	-2431.024	-2508.689	77.66455	0.891857	3.706203
2400	-2428.422	-2505.257	76.83475	0.8119823	4.226753
2406	-2430.573	-2507.376	76.80319	0.8435477	4.226753
2412	-2437.697	-2514.359	76.66231	0.8462023	4.305042
2418	-2429.201	-2506.747	77.54606	1.114165	3.646125
2424	-2426.163	-2502.914	76.75109	0.7336036	4.318511
2430	-2442.476	-2519.116	76.6403	0.8029942	4.341916
2436	-2431.714	-2507.812	76.09814	0.863717	4.612904
2442	-2433.178	-2509.394	76.21638	0.8074369	4.578141
2448	-2430.576	-2507.237	76.6613	0.7995662	4.331981
2454	-2434.786	-2510.618	75.83204	0.7253476	4.839072
2460	-2435.121	-2511.287	76.16528	0.6346631	4.703598
2466	-2427.867	-2503.858	75.99138	0.8085576	4.703598
2472	-2426.493	-2502.669	76.17587	0.9215968	4.536776
2478	-2430.771	-2507.011	76.23946	0.7445101	4.600501
2484	-2430.545	-2508.424	77.87876	0.8545729	3.603718
2490	-2427.563	-2504.11	76.54622	0.8749707	4.354402
2496	-2435.447	-2512.945	77.49794	0.7749064	3.869548
2502	-2425.939	-2502.116	76.17634	0.7267509	4.645846
2508	-2434.882	-2511.73	76.84729	0.766821	4.245248
2514	-2435.49	-2512.206	76.71608	0.7629075	4.321738
2520	-2433.94	-2511.484	77.54397	0.9076283	3.766702
2526	-2429.313	-2505.835	76.5225	0.8157076	4.401241
2532	-2429.831	-2506.445	76.61323	0.8389477	4.336894
2538	-2436.83	-2513.252	76.42248	0.8694892	4.427315
2544	-2439.475	-2516.567	77.09195	0.8216285	4.075056
2550	-2451.36	-2528.108	76.74799	0.907471	4.221805
2556	-2443.403	-2520.432	77.02889	1.05786	3.976188
2562	-2440.574	-2517.924	77.34997	0.9098086	3.877054
2568	-2431.07	-2508.596	77.52636	0.8402306	3.815669
2574	-2439.36	-2517.407	78.04655	0.9340009	3.459721
2580	-2435.026	-2513.079	78.05243	0.9675353	3.436676
2586	-2435.772	-2513.135	77.36269	0.8648705	3.895538
2592	-2431.964	-2509.319	77.35523	0.8723353	3.895538
2598	-2442.924	-2519.558	76.63351	0.7057167	4.400671
2604	-2441.586	-2517.838	76.2523	0.745099	4.592965
2610	-2436.671	-2512.754	76.08272	0.9146841	4.592965
2616	-2434.161	-2510.549	76.38822	0.6980306	4.54308
2622	-2431.211	-2507.968	76.75679	0.8502855	4.249238
2628	-2432.632	-2509.485	76.85287	0.7306845	4.262563
2634	-2431.028	-2507.962	76.93372	0.8323529	4.159002
2640	-2429.509	-2505.903	76.39379	0.7542433	4.508351
2646	-2431.449	-2507.884	76.43424	0.863695	4.423955
2652	-2424.801	-2501.359	76.55797	0.7634577	4.410709
2658	-2419.107	-2495.429	76.32232	0.8097334	4.517339
2664	-2417.943	-2494.39	76.44767	0.8350876	4.432506
2670	-2427.341	-2503.153	75.81151	0.643076	4.896357
2676	-2433.297	-2510.101	76.80402	0.7218126	4.295242
2682	-2424.716	-2501.52	76.80402	0.7218126	4.295242
2688	-2431.079	-2509.355	78.2764	1.028294	3.269352
2694	-2436.169	-2512.96	76.79145	0.6675704	4.333028
2700	-2429.553	-2505.864	76.31061	0.90373	4.471045
2706	-2421.53	-2497.758	76.22791	0.8586846	4.54289
2712	-2430.404	-2506.57	76.16607	0.6800112	4.677774
2718	-2426.069	-2502.936	76.86621	0.639176	4.30681
2724	-2419.649	-2497.335	77.686	0.8661561	3.70866
